Country\year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Netherlands,219604.1,227263.86,227948.36,228694.79,229571.52,229639.35,240424.69,232386.44,232779.11,219336.65,217577.76,218271.57,216093.44,216742.96,218288.46,212553.1,207510.09,205894.05,205315.85,199722.2,211675.15,197327.07,193081.48,193387.53,185617.27,192712.73,193101.02,190567.47,186318.55,180309.09
New Zealand,65129.23,66005.34,67153.49,66913.44,68135.38,68913.13,70973.41,73669.13,71569.28,73366.38,75397.63,78386.36,78563.49,80733.64,80548.79,82486.17,82518.41,80522.57,80605.45,77881.95,78316.41,78149.24,80446.28,79827.77,80674,80724.44,78678.36,80282,80578.31,82317.88
Norway,51475.11,49182.33,47494.57,49400.79,51279.68,51623.59,54614.66,54631.17,54779.97,55736.95,55117.39,56349.07,55222.38,55762.84,56151.19,55269.62,55238.38,56895.4,55442.36,53053.84,55265.59,54509.57,53998.11,53989.1,53863.14,54125.12,53095.07,52089.48,52211.46,50333.98
OECD - Europe,5588408.5,5567812,5421059,5339287,5312786.5,5366711.5,5500390,5424047.5,5406203,5322327.5,5339734,5367127,5336262,5432447.5,5447102.5,5434862.5,5442541,5422156.5,5306798.5,4970453.5,5086109,4944478,4916111.5,4828424.5,4664077,4705281,4713299.5,4745996,4652157.5,4473145.5
OECD America,7638257,7573904.5,7713593,7843008,7981138.5,8077919.5,8337846,8442128,8521267,8559141,8786618,8655338,8722294,8808193,8944042,8968986,8916593,9083648,8885935,8374841.5,8601694,8465978,8232323,8436900,8496814,8363986.5,8200864.5,8174035.5,8375674.5,8264339
Peru,50098,51633,53167,54702,57582.87,57771,59305,60840,62374,63909,63197,66978,68512,70047,71581,73116,74650,76185,77719,79254,80591.02,82323,84564,85392,86926,88461,89995,91530,93604,94599
Poland,475862.93,463790.87,451015.94,450911.26,445289.05,447309.06,461109.53,451022.73,420681.52,409182.56,396594.91,395187.65,385455.07,399258.84,404900.89,405225.25,420408.33,420268.92,413750.43,394713.9,413501.55,412488.95,404975.67,401638.24,388929.07,390815.88,400421.28,414819.41,411852.17,390744.67
Portugal,58783.78,60689.04,64536.04,63027.64,63924.87,68588.14,66294.63,69473.47,74333.27,82400.44,81668.11,81199.88,85719.94,80429.33,83559.56,85704.34,80871.67,78593.01,76195.15,73008.7,68727.03,67319.09,65404.63,63542.23,63439.83,67586.67,65741.58,70790.72,67131.79,63469.98
Romania,247371.77,204385.17,189482.02,179379.26,176655,183855.96,186702.3,179616.66,163514.28,145552.03,138766.96,142383.73,143913.34,149600.07,147819.5,146944.76,148442.79,145429.71,140785.56,121699.3,116143.75,123862.2,121086.33,111881.72,112485.91,113193.87,110762.21,114245.64,115090.96,111767.06
Russia,3158804.34,2997928.59,2519559.58,2382405.22,2120840.38,2068333.8,2017432.58,1899548.64,1867753.7,1897296.71,1891846.01,1926302.45,1903699.11,1936360.29,1947980.21,1965384.74,2024782.86,2022728.31,2057617.56,1921605.98,2013432.45,2070533.86,2095638.94,2037755.83,2037987.26,2035889.3,2037209.58,2071543.37,2133581.6,2119432.41
Saudi Arabia,165268.97,167145,185246,203347,221448,239549,257650,275751,293852,311953,296059.87,348155,366256,384357,402548,420559,438660,456761,474862,492963,525332.15,529165,548262.55,565367,583468,601569,619670,637771,655872,673973
